date,day,tithi,time,nakshatra,additional_info,paksha,temple_festivals,temple_monthly_poojas,balavihar_events,festivals
4/3/2025,Thursday,Shashthi,11:11:38,Mrigashirsha,19:20:56,Shukla ,,,,
4/4/2025,Friday,Saptami,9:42:54,Aardra,18:50:17,Shukla ,,Maha Lakshmi Abhishekam,,
4/5/2025,Saturday,Ashtami,8:56:42,Punarvasu,19:01:52,Shukla ,Sri Rama Navami,,,
4/6/2025,Sunday,Navami,8:53:19,Pushya,19:54:36,Shukla ,,,10:00 a - BalaVihar & Vedanta Classes,
4/7/2025,Monday,Dashami,9:30:21,Aslesha,21:24:51,Shukla ,,,,
4/8/2025,Tuesday,Ekadashi,10:43:13,Magha,23:27:01,Shukla ,,Chinmaya Shripati Abhishekam,,
4/9/2025,Wednesday,Dvadashi,12:25:43,P.Phalguni, 25:54:25+,Shukla ,,,,
4/10/2025,Thursday,Trayodashi,14:30:54,U.Phalguni,28:40:09+,Shukla ,,,,
4/11/2025,Friday,Chaturdashi,16:51:51,Hasta,full night,Shukla ,,,,
4/12/2025,Saturday,Purnima,19:21:59,Hasta,7:37:35,Shukla ,Hanuman Jayanti,Sri Satya Narayana Puja,,
4/13/2025,Sunday,Prathama,21:55:14,Chitra,10:40:35,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,Sowramana Ugadi
4/14/2025,Monday,Dvitiiya,24:25:43+,Svaati,13:43:24,Krishna ,,,,
4/15/2025,Tuesday,Tritiiya,26:47:21+,Vishaakha,16:40:14,Krishna ,,,,
4/16/2025,Wednesday,Chaturthi,28:53:38+,Anuraadha,19:24:57,Krishna ,,Sankatahara Gnapati Puja,,
4/17/2025,Thursday,Panchami,30:37:36+,Jyeshtha,21:50:49,Krishna ,,,,
4/18/2025,Friday,Shashthi,full,Mula,23:50:50,Krishna ,,,,
4/19/2025,Saturday,Shashthi,7:52:12,P.shadha,25:18:12+,Krishna ,,,,
4/20/2025,Sunday,Saptami,8:30:59,U.shada,26:07:11+,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,
4/21/2025,Monday,Ashtami,8:28:56,Shravana,26:14:00+,Krishna ,,,,
4/22/2025,Tuesday,Navami,7:43:12,Dhanishta,25:37:26+,Krishna ,,,,
4/23/2025,Wednesday,Ekadashi,28:02:28+,Shatabhisha,24:19:05+,Krishna ,,,,
4/24/2025,Thursday,Dvadashi,25:14:55+,P.Bhadrapada,22:23:20,Krishna ,,,,
4/25/2025,Friday,Trayodashi,21:57:53,U.Bhadrapada,19:56:58,Krishna ,,Pradosha Shiva Abhishekam,,
4/26/2025,Saturday,Chaturdashi,18:19:57,Revati,17:08:40,Krishna ,,,,
4/27/2025,Sunday,Amavasya,14:30:53,Ashvini,14:08:31,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,
4/28/2025,Monday,Prathama,10:41:05,Bharani,11:07:28,Shukla ,,,,
4/29/2025,Tuesday,Dvitiiya,7:01:19,Krittika,8:16:50,Shukla ,,,,Akshaya Tritiya
4/30/2025,Wednesday,Chaturthi,24:53:51+,Mrigashirsha,27:50:34+,Shukla ,,,,
5/1/2025,Thursday,Panchami,22:44:55,Aardra,26:33:53+,Shukla ,,,,
5/2/2025,Friday,Shashthi,21:22:07,Punarvasu,26:03:53+,Shukla ,,Maha Lakshmi Abhishekam,,
5/3/2025,Saturday,Saptami,20:49:07,Pushya,26:23:19+,Shukla ,,,,
5/4/2025,Sunday,Ashtami,21:06:00,Aslesha,27:31:00+,Shukla ,,,Gita Chanting Compitition,
5/5/2025,Monday,Navami,22:08:48,Magha,29:21:42+,Shukla ,,,,
5/6/2025,Tuesday,Dashami,23:50:00,P.Phalguni,full night,Shukla ,,,,
5/7/2025,Wednesday,Ekadashi,25:59:31+,P.Phalguni,7:46:56,Shukla ,,Chinmaya Shripati Abhishekam,,
5/8/2025,Thursday,Dvadashi,28:26:23+,U.Phalguni,10:36:15,Shukla ,,,Chinmaya Jayanti,
5/9/2025,Friday,Trayodashi,full,Hasta,13:38:51,Shukla ,,,,
5/10/2025,Saturday,Trayodashi,7:00:10,Chitra,16:45:03,Shukla ,,,,
5/11/2025,Sunday,Chaturdashi,9:32:08,Svaati,19:47:01,Shukla ,,SatyaNarayana Puja,Chinmaya Jayanti & Mother's Day,
5/12/2025,Monday,Purnima,11:55:40,Vishaakha,22:39:01,Shukla ,,,,Buddha Purnima
5/13/2025,Tuesday,Prathama,14:05:57,Anuraadha,25:16:54+,Krishna ,,,,
5/14/2025,Wednesday,Dvitiiya,15:59:28,Jyeshtha,27:37:24+,Krishna ,,,,
5/15/2025,Thursday,Tritiiya,17:33:08,Mula,29:37:28+,Krishna ,,Sankatahara ganapati Puja,,
5/16/2025,Friday,Chaturthi,18:43:48,P.shadha,full night,Krishna ,,,,
5/17/2025,Saturday,Panchami,19:27:58,P.shadha,7:13:44,Krishna ,,,,
5/18/2025,Sunday,Shashthi,19:41:52,U.shada,8:22:24,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes,
5/19/2025,Monday,Saptami,19:21:58,Shravana,8:59:39,Krishna ,,,,
5/20/2025,Tuesday,Ashtami,18:25:43,Dhanishta,9:02:09,Krishna ,,,,
5/21/2025,Wednesday,Navami,16:52:09,Shatabhisha,8:27:57,Krishna ,,,,
5/22/2025,Thursday,Dashami,14:42:25,P.Bhadrapada,7:17:09,Krishna ,,,,
5/23/2025,Friday,Ekadashi,11:59:58,Revati,27:18:08+,Krishna ,,,,
5/24/2025,Saturday,Dvadashi,8:50:27,Ashvini,24:42:11+,Krishna ,,Pradosha Shiva Abhishekam,,
5/25/2025,Sunday,Chaturdashi,25:41:54+,Bharani,21:53:28,Krishna ,,,10:00 a - BalaVihar & Vedanta Classes - Last Class,
5/26/2025,Monday,Amavasya,22:02:04,Krittika,19:02:27,Krishna ,,,,
5/27/2025,Tuesday,Prathama,18:32:41,Rohini,16:20:25,Shukla ,,,,
5/28/2025,Wednesday,Dvitiiya,15:24:37,Mrigashirsha,13:58:48,Shukla ,,,,
5/29/2025,Thursday,Tritiiya,12:48:19,Aardra,12:08:30,Shukla ,,,,
5/30/2025,Friday,Chaturthi,10:52:57,Punarvasu,10:58:57,Shukla ,,,,
5/31/2025,Saturday,Panchami,9:45:32,Pushya,10:37:05,Shukla ,,,,
6/1/2025,Sunday,Shashthi,9:29:47,Aslesha,11:06:16,Shukla ,,,No BalaVihar & Vedanta Classes,
6/2/2025,Monday,Saptami,10:05:13,Magha,12:25:22,Shukla ,,,,
6/3/2025,Tuesday,Ashtami,11:26:38,P.Phalguni,14:28:27,Shukla ,,,,
6/4/2025,Wednesday,Navami,13:24:29,U.Phalguni,17:05:26,Shukla ,,,,
6/5/2025,Thursday,Dashami,15:46:12,Hasta,20:03:34,Shukla ,,,,
6/6/2025,Friday,Ekadashi,18:18:14,Chitra,23:09:36,Shukla ,,Chinmaya Shripati Abhishekam,,
6/7/2025,Saturday,Dvadashi,20:48:10,Svaati,26:11:45+,Shukla ,,,,
6/8/2025,Sunday,Trayodashi,23:06:13,Vishaakha,29:01:00+,Shukla ,,,,
6/9/2025,Monday,Chaturdashi,25:05:51+,Anuraadha,full night,Shukla ,,,,
6/10/2025,Tuesday,Purnima,26:43:34+,Anuraadha,7:31:35,Shukla ,,Sri SatyaNarayana Puja,,
6/11/2025,Wednesday,Prathama,27:58:01+,Jyeshtha,9:40:33,Krishna ,,,,
6/12/2025,Thursday,Dvitiiya,28:49:07+,Mula,11:26:54,Krishna ,,,,
6/13/2025,Friday,Tritiiya,29:17:00+,P.shadha,12:50:36,Krishna ,,,,
6/14/2025,Saturday,Chaturthi,29:21:32+,U.shada,13:51:41,Krishna ,,Sankatahara Ganapati Puja,,
6/15/2025,Sunday,Panchami,29:01:53+,Shravana,14:29:39,Krishna ,,,,
6/16/2025,Monday,Shashthi,28:16:49+,Dhanishta,14:43:26,Krishna ,,,,
6/17/2025,Tuesday,Saptami,27:05:01+,Shatabhisha,14:31:32,Krishna ,,,,
6/18/2025,Wednesday,Ashtami,25:25:48+,P.Bhadrapada,13:52:44,Krishna ,,,,
6/19/2025,Thursday,Navami,23:19:42,U.Bhadrapada,12:46:41,Krishna ,,,,
6/20/2025,Friday,Dashami,20:49:00,Revati,11:14:43,Krishna ,,,,
6/21/2025,Saturday,Ekadashi,17:57:51,Ashvini,9:20:07,Krishna ,,,,
6/22/2025,Sunday,Dvadashi,14:52:17,Bharani,7:08:17,Krishna ,,Pradosha Shiva Abhishekam,,
6/23/2025,Monday,Trayodashi,11:39:56,Rohini,26:23:58+,Krishna ,,,,
6/24/2025,Tuesday,Chaturdashi,8:29:43,Mrigashirsha,24:10:24+,Krishna ,,,,
6/25/2025,Wednesday,Prathama,26:54:46+,Aardra,22:16:16,Shukla ,,,,
6/26/2025,Thursday,Dvitiiya,24:49:36+,Punarvasu,20:51:40,Shukla ,,,,Jaganath Ratha Yatra
6/27/2025,Friday,Tritiiya,23:24:13,Pushya,20:05:24,Shukla ,,MahaLakshmi Abhishekam,,
6/28/2025,Saturday,Chaturthi,22:44:46,Aslesha,20:04:00,Shukla ,,,,
6/29/2025,Sunday,Panchami,22:54:09,Magha,20:50:31,Shukla ,,,,
6/30/2025,Monday,Shashthi,23:50:53,P.Phalguni,22:23:37,Shukla ,,,,
7/1/2025,Tuesday,Saptami,25:28:45+,U.Phalguni,24:37:06+,Shukla ,,,,
7/2/2025,Wednesday,Ashtami,27:37:03+,Hasta,27:20:21+,Shukla ,,,,
7/3/2025,Thursday,Navami,30:02:03+,Chitra,30:19:48+,Shukla ,,,,
7/4/2025,Friday,Dashami,full,Svaati,full night,Shukla ,,,,
7/5/2025,Saturday,Dashami,8:29:10,Svaati,9:21:10,Shukla ,,Chinmaya Shripati Abhishekam,,
7/6/2025,Sunday,Ekadashi,10:45:18,Vishaakha,12:11:37,Shukla ,,,,
7/7/2025,Monday,Dvadashi,12:40:28,Anuraadha,14:41:29,Shukla ,,,,
7/8/2025,Tuesday,Trayodashi,14:08:35,Jyeshtha,16:44:54,Shukla ,,,,
7/9/2025,Wednesday,Chaturdashi,15:07:09,Mula,18:19:34,Shukla ,,Sri SatyaNarayana Puja,,
7/10/2025,Thursday,Purnima,15:36:31,P.shadha,19:25:55,Shukla ,Guru Punima ,,,
7/11/2025,Friday,Prathama,15:38:43,U.shada,20:06:04,Krishna ,,,,
7/12/2025,Saturday,Dvitiiya,15:16:35,Shravana,20:22:47,Krishna ,,,,
7/13/2025,Sunday,Tritiiya,14:32:53,Dhanishta,20:18:46,Krishna ,,Sankatahara Ganapati Puja,,
7/14/2025,Monday,Chaturthi,13:29:55,Shatabhisha,19:56:07,Krishna ,,,,
